Time:User:UserPos:UserRHPos:UserLHPos:UserPosToque:UserMaoDeToque:UserTouchType:UserAction:HoverUnityName:HoverObjectType:NQuadToSelect:NCircToSelect:LastCollidingObj:HandCubePos
0.9981:User 1:(0.5, 0.8, 0.6):(0.8, 0.9, 0.8):(0.8, 0.9, 0.8):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
117.6876:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.8, 0.9, 0.8):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
134.6402:User 1:(0.5, 0.8, 0.6):(0.8, 0.9, 0.8):(0.8, 0.9, 0.8):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
134.6402:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.8, 0.9, 0.8):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
152.5919:User 1:(0.5, 0.8, 0.6):(0.8, 0.9, 0.8):(0.8, 0.9, 0.8):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
152.5919:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.8, 0.9, 0.8):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
168.5492:User 1:(0.5, 0.8, 0.6):(0.8, 0.9, 0.8):(0.8, 0.9, 0.8):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
168.5492:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.8, 0.9, 0.8):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
185.5051:User 1:(0.5, 0.8, 0.6):(0.8, 0.9, 0.8):(0.8, 0.9, 0.8):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
185.5051:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.8, 0.9, 0.8):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
203.4563:User 1:(0.5, 0.8, 0.6):(0.8, 0.9, 0.8):(0.8, 0.9, 0.8):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
203.4563:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.8, 0.9, 0.8):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
219.4142:User 1:(0.5, 0.8, 0.6):(0.8, 0.9, 0.8):(0.8, 0.9, 0.8):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
219.4142:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.8, 0.9, 0.8):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
236.3683:User 1:(0.5, 0.8, 0.6):(0.8, 0.9, 0.8):(0.8, 0.9, 0.8):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
236.3683:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.8, 0.9, 0.8):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
252.3255:User 1:(0.5, 0.8, 0.6):(0.8, 0.9, 0.8):(0.8, 0.9, 0.8):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
252.3255:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.8, 0.9, 0.8):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
270.2791:User 1:(0.5, 0.8, 0.6):(0.9, 0.9, 0.8):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
270.2791:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
287.2321:User 1:(0.5, 0.8, 0.6):(0.9, 0.9, 0.8):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
287.2321:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
303.1886:User 1:(0.5, 0.8, 0.6):(0.9, 0.9, 0.8):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
303.1886:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
320.1451:User 1:(0.5, 0.8, 0.6):(0.9, 0.9, 0.8):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
320.1451:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
337.098:User 1:(0.5, 0.8, 0.6):(0.9, 0.9, 0.8):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
337.098:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
354.0564:User 1:(0.5, 0.8, 0.6):(0.9, 0.9, 0.8):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
354.0564:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
371.0079:User 1:(0.5, 0.8, 0.6):(0.9, 0.9, 0.8):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
371.0079:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
387.9621:User 1:(0.5, 0.8, 0.6):(0.9, 0.9, 0.8):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
387.9621:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
404.9187:User 1:(0.5, 0.8, 0.6):(0.9, 0.9, 0.8):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
404.9187:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
421.8717:User 1:(0.5, 0.8, 0.6):(0.9, 0.9, 0.8):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
421.8717:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
437.8295:User 1:(0.5, 0.8, 0.6):(0.9, 0.9, 0.8):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
437.8295:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
454.7834:User 1:(0.5, 0.8, 0.6):(0.9, 0.9, 0.8):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
454.7834:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
471.7509:User 1:(0.5, 0.8, 0.6):(0.9, 0.9, 0.8):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
471.7509:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
488.695:User 1:(0.5, 0.8, 0.6):(0.9, 0.9, 0.8):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
488.695:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
505.6477:User 1:(0.5, 0.8, 0.6):(0.9, 0.9, 0.8):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
505.6477:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
522.6024:User 1:(0.5, 0.8, 0.6):(0.9, 0.9, 0.8):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
522.6024:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
539.5589:User 1:(0.5, 0.8, 0.6):(0.9, 0.9, 0.8):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
539.5589:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
555.4076:User 1:(0.5, 0.8, 0.6):(0.9, 0.9, 0.8):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
555.4076:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
573.3619:User 1:(0.5, 0.8, 0.6):(0.9, 0.9, 0.8):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
573.3619:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
590.315:User 1:(0.5, 0.8, 0.6):(0.9, 0.9, 0.8):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
590.315:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
606.2739:User 1:(0.5, 0.8, 0.6):(0.9, 0.9, 0.8):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
606.2739:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
623.2269:User 1:(0.5, 0.8, 0.6):(0.9, 0.9, 0.8):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
623.2269:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
641.1796:User 1:(0.5, 0.8, 0.6):(0.9, 0.9, 0.8):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
641.1796:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
657.1363:User 1:(0.5, 0.8, 0.6):(0.9, 0.9, 0.8):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
657.1363:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
674.0921:User 1:(0.5, 0.8, 0.6):(0.9, 0.9, 0.8):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
674.0921:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
691.0481:User 1:(0.5, 0.8, 0.6):(0.9, 0.9, 0.8):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
691.0481:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
707.9997:User 1:(0.5, 0.8, 0.6):(0.9, 0.9, 0.8):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
707.9997:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
724.955:User 1:(0.5, 0.8, 0.6):(0.9, 0.9, 0.8):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
724.955:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
741.9089:User 1:(0.5, 0.8, 0.6):(0.9, 0.9, 0.8):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
741.9089:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
757.8675:User 1:(0.5, 0.8, 0.6):(0.9, 0.9, 0.8):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
757.8675:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
775.8187:User 1:(0.5, 0.8, 0.6):(0.9, 0.9, 0.8):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
775.8187:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
791.776:User 1:(0.5, 0.8, 0.6):(0.9, 0.9, 0.8):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
791.776:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
808.7336:User 1:(0.5, 0.8, 0.6):(0.9, 0.9, 0.8):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
808.7336:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
826.6832:User 1:(0.5, 0.8, 0.6):(0.9, 0.9, 0.8):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
826.6832:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
842.64:User 1:(0.5, 0.8, 0.6):(0.9, 0.9, 0.8):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
842.64:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
859.5982:User 1:(0.5, 0.8, 0.6):(0.9, 0.9, 0.8):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
859.5982:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.8, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
876.5488:User 1:(0.5, 0.8, 0.6):(0.9, 0.9, 0.8):(0.7, 1.0, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
876.5488:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 1.0, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
893.5067:User 1:(0.5, 0.8, 0.6):(0.9, 0.9, 0.8):(0.7, 1.0, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
893.5067:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 1.0, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
909.461:User 1:(0.5, 0.8, 0.6):(0.9, 0.9, 0.8):(0.7, 1.0, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
909.461:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 1.0, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
926.4179:User 1:(0.5, 0.8, 0.6):(0.9, 0.9, 0.8):(0.7, 1.0, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
926.4179:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 1.0, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
943.3716:User 1:(0.5, 0.8, 0.6):(0.9, 0.9, 0.8):(0.7, 1.0, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
943.3716:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 1.0, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
960.8577:User 1:(0.5, 0.8, 0.6):(0.9, 0.9, 0.8):(0.7, 1.0, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
960.8577:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 1.0, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
977.8135:User 1:(0.5, 0.8, 0.6):(0.9, 0.9, 0.8):(0.7, 1.0, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
977.8135:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 1.0, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
994.7671:User 1:(0.5, 0.8, 0.6):(0.9, 0.9, 0.8):(0.7, 1.0, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
994.7671:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 1.0, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
1010.7252:User 1:(0.5, 0.8, 0.6):(0.9, 0.9, 0.8):(0.7, 1.0, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
1010.7252:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 1.0, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
1028.6797:User 1:(0.5, 0.8, 0.6):(0.9, 0.9, 0.8):(0.7, 1.0, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
1028.6797:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 1.0, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
1044.6339:User 1:(0.5, 0.8, 0.6):(0.9, 0.9, 0.8):(0.7, 1.0, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
1044.6339:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 1.0, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
1062.1083:User 1:(0.5, 0.8, 0.6):(0.9, 0.9, 0.8):(0.7, 1.0, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
1062.1083:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 1.0, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
1079.0609:User 1:(0.5, 0.8, 0.6):(0.9, 0.9, 0.8):(0.7, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
1079.0609:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
1095.0203:User 1:(0.5, 0.8, 0.6):(0.9, 0.9, 0.8):(0.7, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
1095.0203:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
1111.9745:User 1:(0.5, 0.8, 0.6):(0.9, 0.9, 0.8):(0.7, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
1111.9745:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
1129.9209:User 1:(0.5, 0.8, 0.6):(0.9, 0.9, 0.8):(0.7, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
1129.9209:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
1145.8831:User 1:(0.5, 0.8, 0.6):(0.9, 0.9, 0.8):(0.7, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
1145.8831:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
1162.8327:User 1:(0.5, 0.8, 0.6):(0.9, 0.9, 0.8):(0.7, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
1162.8327:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
1179.8064:User 1:(0.5, 0.8, 0.6):(0.9, 0.9, 0.8):(0.7, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
1179.8064:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
