At 11289.0248 User1 tried to select circle and that is not possible.
At 11305.9778 User1 tried to select circle and that is not possible.
At 11322.9318 User1 tried to select circle and that is not possible.
At 11338.8909 User1 tried to select circle and that is not possible.
At 11355.8448 User1 tried to select circle and that is not possible.
At 11372.8 User1 tried to select circle and that is not possible.
At 11389.7493 User1 tried to select circle and that is not possible.
At 11406.7046 User1 tried to select circle and that is not possible.
At 11422.6924 User1 tried to select circle and that is not possible.
At 11440.6201 User1 tried to select circle and that is not possible.
At 11457.5744 User1 tried to select circle and that is not possible.
At 11474.5288 User1 tried to select circle and that is not possible.
At 11491.4837 User1 tried to select circle and that is not possible.
At 11507.4408 User1 tried to select circle and that is not possible.
At 11524.3954 User1 tried to select circle and that is not possible.
At 11541.3509 User1 tried to select circle and that is not possible.
At 11558.3045 User1 tried to select circle and that is not possible.
At 11575.2595 User1 tried to select circle and that is not possible.
At 11592.2185 User1 tried to select circle and that is not possible.
At 11608.2013 User1 tried to select circle and that is not possible.
At 11625.1264 User1 tried to select circle and that is not possible.
At 11642.0822 User1 tried to select circle and that is not possible.
At 11660.0325 User1 tried to select circle and that is not possible.
At 11675.9911 User1 tried to select circle and that is not possible.
At 11692.9456 User1 tried to select circle and that is not possible.
At 11709.903 User1 tried to select circle and that is not possible.
At 11726.8547 User1 tried to select circle and that is not possible.
At 11742.8117 User1 tried to select circle and that is not possible.
At 11760.7641 User1 tried to select circle and that is not possible.
At 11777.7182 User1 tried to select circle and that is not possible.
At 11793.6783 User1 tried to select circle and that is not possible.
At 11810.6309 User1 tried to select circle and that is not possible.
At 11827.5851 User1 tried to select circle and that is not possible.
At 11844.5397 User1 tried to select circle and that is not possible.
At 11861.4944 User1 tried to select circle and that is not possible.
At 11878.4484 User1 tried to select circle and that is not possible.
At 11895.4032 User1 tried to select circle and that is not possible.
At 11912.378 User1 tried to select circle and that is not possible.
At 11929.3126 User1 tried to select circle and that is not possible.
At 11945.2716 User1 tried to select circle and that is not possible.
At 11963.2227 User1 tried to select circle and that is not possible.
At 11979.1791 User1 tried to select circle and that is not possible.
At 11996.1338 User1 tried to select circle and that is not possible.
At 12013.089 User1 tried to select circle and that is not possible.
At 12030.0431 User1 tried to select circle and that is not possible.
At 12046.998 User1 tried to select circle and that is not possible.
At 14152.6698 User1 selected square and there is still 4 squares to select.
At 14169.625 User1 selected square and there is still 4 squares to select.
At 14186.5792 User1 selected square and there is still 4 squares to select.
At 14203.0687 User1 selected square and there is still 4 squares to select.
At 14221.0233 User1 selected square and there is still 4 squares to select.
At 14236.9782 User1 selected square and there is still 4 squares to select.
At 15214.6314 User1 selected square and there is still 3 squares to select.
At 15231.5883 User1 selected square and there is still 3 squares to select.
At 15247.5425 User1 selected square and there is still 3 squares to select.
At 15264.497 User1 selected square and there is still 3 squares to select.
At 15281.4518 User1 selected square and there is still 3 squares to select.
At 15298.4065 User1 selected square and there is still 3 squares to select.
At 15315.361 User1 selected square and there is still 3 squares to select.
At 15332.3158 User1 selected square and there is still 3 squares to select.
At 15349.2711 User1 selected square and there is still 3 squares to select.
At 15366.2247 User1 selected square and there is still 3 squares to select.
At 15383.1804 User1 selected square and there is still 3 squares to select.
At 15400.1343 User1 selected square and there is still 3 squares to select.
At 15416.0966 User1 selected square and there is still 3 squares to select.
At 15433.0472 User1 selected square and there is still 3 squares to select.
At 15450.0013 User1 selected square and there is still 3 squares to select.
At 15466.9557 User1 selected square and there is still 3 squares to select.
At 15483.9111 User1 selected square and there is still 3 squares to select.
At 15500.8649 User1 selected square and there is still 3 squares to select.
At 15517.8198 User1 selected square and there is still 3 squares to select.
At 15534.7752 User1 selected square and there is still 3 squares to select.
At 15551.7289 User1 selected square and there is still 3 squares to select.
At 15567.6866 User1 selected square and there is still 3 squares to select.
At 15584.6414 User1 selected square and there is still 3 squares to select.
At 15601.5982 User1 selected square and there is still 3 squares to select.
At 15618.5504 User1 selected square and there is still 3 squares to select.
At 15635.5057 User1 selected square and there is still 3 squares to select.
At 15652.4602 User1 selected square and there is still 3 squares to select.
At 15669.4187 User1 selected square and there is still 3 squares to select.
At 15686.3693 User1 selected square and there is still 3 squares to select.
At 15703.3241 User1 selected square and there is still 3 squares to select.
At 15720.2802 User1 selected square and there is still 3 squares to select.
At 15736.2353 User1 selected square and there is still 3 squares to select.
At 15754.1878 User1 selected square and there is still 3 squares to select.
At 15770.1454 User1 selected square and there is still 3 squares to select.
At 15787.1017 User1 selected square and there is still 3 squares to select.
At 15805.0526 User1 selected square and there is still 3 squares to select.
At 15821.0094 User1 selected square and there is still 3 squares to select.
At 15837.9632 User1 selected square and there is still 3 squares to select.
At 15854.9197 User1 selected square and there is still 3 squares to select.
At 15871.8727 User1 selected square and there is still 3 squares to select.
At 15888.8277 User1 selected square and there is still 3 squares to select.
At 15904.7851 User1 selected square and there is still 3 squares to select.
At 15922.7388 User1 selected square and there is still 3 squares to select.
At 15938.6943 User1 selected square and there is still 3 squares to select.
At 15955.6504 User1 selected square and there is still 3 squares to select.
At 15972.6049 User1 selected square and there is still 3 squares to select.
At 15989.5578 User1 selected square and there is still 3 squares to select.
At 16006.5139 User1 selected square and there is still 3 squares to select.
At 16023.469 User1 selected square and there is still 3 squares to select.
At 16040.4222 User1 selected square and there is still 3 squares to select.
At 16056.3793 User1 selected square and there is still 3 squares to select.
At 16074.3321 User1 selected square and there is still 3 squares to select.
At 16090.2887 User1 selected square and there is still 3 squares to select.
At 16107.244 User1 selected square and there is still 3 squares to select.
At 16124.1982 User1 selected square and there is still 3 squares to select.
At 16141.1541 User1 selected square and there is still 3 squares to select.
At 16158.1075 User1 selected square and there is still 3 squares to select.
At 16175.0628 User1 selected square and there is still 3 squares to select.
At 16192.0166 User1 selected square and there is still 3 squares to select.
At 16208.9722 User1 selected square and there is still 3 squares to select.
At 16224.9287 User1 selected square and there is still 3 squares to select.
At 17236.3682 User1 selected square and there is still 2 squares to select.
At 17253.3237 User1 selected square and there is still 2 squares to select.
At 17270.2776 User1 selected square and there is still 2 squares to select.
At 17287.2335 User1 selected square and there is still 2 squares to select.
At 17303.1911 User1 selected square and there is still 2 squares to select.
At 17321.0341 User1 selected square and there is still 2 squares to select.
At 17336.9669 User1 selected square and there is still 2 squares to select.
At 17353.9211 User1 selected square and there is still 2 squares to select.
At 17371.8736 User1 selected square and there is still 2 squares to select.
At 17387.8319 User1 selected square and there is still 2 squares to select.
At 17404.786 User1 selected square and there is still 2 squares to select.
At 17421.9365 User1 selected square and there is still 2 squares to select.
At 17438.8785 User1 selected square and there is still 2 squares to select.
At 17454.8362 User1 selected square and there is still 2 squares to select.
At 17472.7872 User1 selected square and there is still 2 squares to select.
At 17488.7493 User1 selected square and there is still 2 squares to select.
At 17505.6997 User1 selected square and there is still 2 squares to select.
At 17522.6745 User1 selected square and there is still 2 squares to select.
At 17539.6111 User1 selected square and there is still 2 squares to select.
At 17556.5633 User1 selected square and there is still 2 squares to select.
At 17573.5181 User1 selected square and there is still 2 squares to select.
At 17590.473 User1 selected square and there is still 2 squares to select.
At 17606.4293 User1 selected square and there is still 2 squares to select.
At 17623.3854 User1 selected square and there is still 2 squares to select.
At 17641.3407 User1 selected square and there is still 2 squares to select.
At 17657.3178 User1 selected square and there is still 2 squares to select.
At 17674.2504 User1 selected square and there is still 2 squares to select.
At 17691.2037 User1 selected square and there is still 2 squares to select.
At 17708.1584 User1 selected square and there is still 2 squares to select.
At 17725.1146 User1 selected square and there is still 2 squares to select.
At 17742.0681 User1 selected square and there is still 2 squares to select.
At 17759.023 User1 selected square and there is still 2 squares to select.
At 17774.9802 User1 selected square and there is still 2 squares to select.
At 17792.9321 User1 selected square and there is still 2 squares to select.
At 17808.8899 User1 selected square and there is still 2 squares to select.
At 17825.8439 User1 selected square and there is still 2 squares to select.
At 17842.7975 User1 selected square and there is still 2 squares to select.
At 17859.7537 User1 selected square and there is still 2 squares to select.
At 17876.7066 User1 selected square and there is still 2 squares to select.
At 17893.6622 User1 selected square and there is still 2 squares to select.
At 17910.6168 User1 selected square and there is still 2 squares to select.
At 17927.572 User1 selected square and there is still 2 squares to select.
At 17944.5263 User1 selected square and there is still 2 squares to select.
At 17961.4814 User1 selected square and there is still 2 squares to select.
At 17978.4357 User1 selected square and there is still 2 squares to select.
At 17994.3929 User1 selected square and there is still 2 squares to select.
At 18011.347 User1 selected square and there is still 2 squares to select.
At 18028.3025 User1 selected square and there is still 2 squares to select.
At 18045.2568 User1 selected square and there is still 2 squares to select.
At 18062.2148 User1 selected square and there is still 2 squares to select.
At 18080.1643 User1 selected square and there is still 2 squares to select.
At 18096.1264 User1 selected square and there is still 2 squares to select.
At 18113.0786 User1 selected square and there is still 2 squares to select.
At 18130.0351 User1 selected square and there is still 2 squares to select.
At 18145.9914 User1 selected square and there is still 2 squares to select.
At 18162.9421 User1 selected square and there is still 2 squares to select.
At 18179.8981 User1 selected square and there is still 2 squares to select.
At 18196.8514 User1 selected square and there is still 2 squares to select.
At 18213.8062 User1 selected square and there is still 2 squares to select.
At 18230.7616 User1 selected square and there is still 2 squares to select.
At 18247.7153 User1 selected square and there is still 2 squares to select.
At 18263.6726 User1 selected square and there is still 2 squares to select.
At 18280.6278 User1 selected square and there is still 2 squares to select.
At 18298.5786 User1 selected square and there is still 2 squares to select.
At 18314.5363 User1 selected square and there is still 2 squares to select.
At 18331.4914 User1 selected square and there is still 2 squares to select.
At 18348.4471 User1 selected square and there is still 2 squares to select.
At 18365.4004 User1 selected square and there is still 2 squares to select.
At 18382.3545 User1 selected square and there is still 2 squares to select.
At 18399.3097 User1 selected square and there is still 2 squares to select.
At 18416.2642 User1 selected square and there is still 2 squares to select.
At 18433.221 User1 selected square and there is still 2 squares to select.
At 18449.1761 User1 selected square and there is still 2 squares to select.
At 18466.1322 User1 selected square and there is still 2 squares to select.
At 18483.0925 User1 selected square and there is still 2 squares to select.
At 18500.0458 User1 selected square and there is still 2 squares to select.
At 18516.9948 User1 selected square and there is still 2 squares to select.
At 18533.9514 User1 selected square and there is still 2 squares to select.
At 18549.9113 User1 selected square and there is still 2 squares to select.
At 18566.8623 User1 selected square and there is still 2 squares to select.
At 18583.8169 User1 selected square and there is still 2 squares to select.
At 18601.7677 User1 selected square and there is still 2 squares to select.
At 18618.7229 User1 selected square and there is still 2 squares to select.
At 18634.6809 User1 selected square and there is still 2 squares to select.
At 18651.6355 User1 selected square and there is still 2 squares to select.
At 18668.59 User1 selected square and there is still 2 squares to select.
At 18684.5465 User1 selected square and there is still 2 squares to select.
At 18702.501 User1 selected square and there is still 2 squares to select.
At 18719.4538 User1 selected square and there is still 2 squares to select.
At 18736.4087 User1 selected square and there is still 2 squares to select.
At 18752.3652 User1 selected square and there is still 2 squares to select.
At 18769.32 User1 selected square and there is still 2 squares to select.
At 18786.2753 User1 selected square and there is still 2 squares to select.
At 18803.2299 User1 selected square and there is still 2 squares to select.
At 18820.1839 User1 selected square and there is still 2 squares to select.
At 18837.1397 User1 selected square and there is still 2 squares to select.
At 18854.0934 User1 selected square and there is still 2 squares to select.
At 18871.0499 User1 selected square and there is still 2 squares to select.
At 18887.0053 User1 selected square and there is still 2 squares to select.
At 18903.9606 User1 selected square and there is still 2 squares to select.
At 18921.9132 User1 selected square and there is still 2 squares to select.
At 18937.8702 User1 selected square and there is still 2 squares to select.
At 18954.8235 User1 selected square and there is still 2 squares to select.
At 18971.7792 User1 selected square and there is still 2 squares to select.
At 18988.7344 User1 selected square and there is still 2 squares to select.
At 19005.688 User1 selected square and there is still 2 squares to select.
At 19022.643 User1 selected square and there is still 2 squares to select.
At 19039.5969 User1 selected square and there is still 2 squares to select.
At 19056.5524 User1 selected square and there is still 2 squares to select.
At 19073.5085 User1 selected square and there is still 2 squares to select.
At 19089.4634 User1 selected square and there is still 2 squares to select.
At 19106.4192 User1 selected square and there is still 2 squares to select.
At 19123.3738 User1 selected square and there is still 2 squares to select.
At 19140.3286 User1 selected square and there is still 2 squares to select.
At 19157.2829 User1 selected square and there is still 2 squares to select.
At 19173.2399 User1 selected square and there is still 2 squares to select.
At 19191.1957 User1 selected square and there is still 2 squares to select.
At 19208.1468 User1 selected square and there is still 2 squares to select.
At 19224.1051 User1 selected square and there is still 2 squares to select.
At 19241.0581 User1 selected square and there is still 2 squares to select.
At 19259.0106 User1 selected square and there is still 2 squares to select.
At 19274.9685 User1 selected square and there is still 2 squares to select.
At 19291.9229 User1 selected square and there is still 2 squares to select.
At 19308.8909 User1 selected square and there is still 2 squares to select.
At 19325.8324 User1 selected square and there is still 2 squares to select.
At 19342.7873 User1 selected square and there is still 2 squares to select.
At 19359.7407 User1 selected square and there is still 2 squares to select.
At 19376.6985 User1 selected square and there is still 2 squares to select.
At 19392.653 User1 selected square and there is still 2 squares to select.
At 19409.6082 User1 selected square and there is still 2 squares to select.
At 19426.5624 User1 selected square and there is still 2 squares to select.
At 19443.5174 User1 selected square and there is still 2 squares to select.
At 19460.4719 User1 selected square and there is still 2 squares to select.
At 19477.4273 User1 selected square and there is still 2 squares to select.
At 19493.3838 User1 selected square and there is still 2 squares to select.
At 19510.3396 User1 selected square and there is still 2 squares to select.
At 19528.29 User1 selected square and there is still 2 squares to select.
At 19544.2505 User1 selected square and there is still 2 squares to select.
At 19561.2025 User1 selected square and there is still 2 squares to select.
At 19578.1575 User1 selected square and there is still 2 squares to select.
At 19594.9091 User1 selected square and there is still 2 squares to select.
At 19611.8649 User1 selected square and there is still 2 squares to select.
At 19628.8188 User1 selected square and there is still 2 squares to select.
At 19645.7731 User1 selected square and there is still 2 squares to select.
At 19662.7281 User1 selected square and there is still 2 squares to select.
At 19679.6821 User1 selected square and there is still 2 squares to select.
At 19696.3128 User1 selected square and there is still 2 squares to select.
At 19713.2677 User1 selected square and there is still 2 squares to select.
At 19730.2231 User1 selected square and there is still 2 squares to select.
At 19747.1772 User1 selected square and there is still 2 squares to select.
At 19763.1344 User1 selected square and there is still 2 squares to select.
At 19780.0893 User1 selected square and there is still 2 squares to select.
At 19797.0474 User1 selected square and there is still 2 squares to select.
At 19814.0039 User1 selected square and there is still 2 squares to select.
At 19830.9572 User1 selected square and there is still 2 squares to select.
At 19847.908 User1 selected square and there is still 2 squares to select.
At 19864.8637 User1 selected square and there is still 2 squares to select.
At 19881.8177 User1 selected square and there is still 2 squares to select.
At 19898.7714 User1 selected square and there is still 2 squares to select.
At 19915.7265 User1 selected square and there is still 2 squares to select.
At 19931.685 User1 selected square and there is still 2 squares to select.
At 19949.6358 User1 selected square and there is still 2 squares to select.
At 19966.5899 User1 selected square and there is still 2 squares to select.
At 19982.5472 User1 selected square and there is still 2 squares to select.
At 19999.3704 User1 selected square and there is still 2 squares to select.
At 20016.3231 User1 selected square and there is still 2 squares to select.
At 20033.2772 User1 selected square and there is still 2 squares to select.
At 20050.2329 User1 selected square and there is still 2 squares to select.
At 20067.2149 User1 selected square and there is still 2 squares to select.
At 20084.1419 User1 selected square and there is still 2 squares to select.
At 20100.1029 User1 selected square and there is still 2 squares to select.
At 20118.0787 User1 selected square and there is still 2 squares to select.
At 20134.061 User1 selected square and there is still 2 squares to select.
At 20150.9872 User1 selected square and there is still 2 squares to select.
At 21415.1083 User1 selected square and there is still 1 squares to select.
At 21432.064 User1 selected square and there is still 1 squares to select.
At 21450.0156 User1 selected square and there is still 1 squares to select.
At 21465.0812 User1 selected square and there is still 1 squares to select.
At 21483.0379 User1 selected square and there is still 1 squares to select.
At 21500.0195 User1 selected square and there is still 1 squares to select.
At 21516.1803 User1 selected square and there is still 1 squares to select.
At 21533.1315 User1 selected square and there is still 1 squares to select.
At 21549.2664 User1 selected square and there is still 1 squares to select.
At 21566.398 User1 selected square and there is still 1 squares to select.
At 21583.4088 User1 selected square and there is still 1 squares to select.
At 21600.3116 User1 selected square and there is still 1 squares to select.
At 21617.3515 User1 selected square and there is still 1 squares to select.
At 21633.4184 User1 selected square and there is still 1 squares to select.
At 21650.4865 User1 selected square and there is still 1 squares to select.
At 21667.4361 User1 selected square and there is still 1 squares to select.
At 21684.3919 User1 selected square and there is still 1 squares to select.
At 21701.4121 User1 selected square and there is still 1 squares to select.
At 21718.3302 User1 selected square and there is still 1 squares to select.
At 21735.3675 User1 selected square and there is still 1 squares to select.
At 21752.307 User1 selected square and there is still 1 squares to select.
At 21768.334 User1 selected square and there is still 1 squares to select.
At 21785.4028 User1 selected square and there is still 1 squares to select.
At 21802.448 User1 selected square and there is still 1 squares to select.
At 21819.4808 User1 selected square and there is still 1 squares to select.
At 21836.3956 User1 selected square and there is still 1 squares to select.
At 21853.3218 User1 selected square and there is still 1 squares to select.
At 21869.3448 User1 selected square and there is still 1 squares to select.
At 21887.2428 User1 selected square and there is still 1 squares to select.
At 21903.2539 User1 selected square and there is still 1 squares to select.
At 21920.3604 User1 selected square and there is still 1 squares to select.
At 21937.3805 User1 selected square and there is still 1 squares to select.
At 21954.4564 User1 selected square and there is still 1 squares to select.
At 21970.4151 User1 selected square and there is still 1 squares to select.
At 21988.2997 User1 selected square and there is still 1 squares to select.
At 22004.256 User1 selected square and there is still 1 squares to select.
At 22021.3141 User1 selected square and there is still 1 squares to select.
At 22038.335 User1 selected square and there is still 1 squares to select.
At 22055.3471 User1 selected square and there is still 1 squares to select.
At 22072.3329 User1 selected square and there is still 1 squares to select.
At 22088.4822 User1 selected square and there is still 1 squares to select.
At 22106.3666 User1 selected square and there is still 1 squares to select.
At 22122.4838 User1 selected square and there is still 1 squares to select.
At 22139.3729 User1 selected square and there is still 1 squares to select.
At 22156.3281 User1 selected square and there is still 1 squares to select.
At 22173.3422 User1 selected square and there is still 1 squares to select.
At 22190.4351 User1 selected square and there is still 1 squares to select.
At 22206.3924 User1 selected square and there is still 1 squares to select.
At 22223.2776 User1 selected square and there is still 1 squares to select.
At 22241.3123 User1 selected square and there is still 1 squares to select.
At 22257.268 User1 selected square and there is still 1 squares to select.
At 22274.3765 User1 selected square and there is still 1 squares to select.
At 22291.3095 User1 selected square and there is still 1 squares to select.
At 22308.3634 User1 selected square and there is still 1 squares to select.
At 22324.384 User1 selected square and there is still 1 squares to select.
At 22341.2732 User1 selected square and there is still 1 squares to select.
At 22358.2276 User1 selected square and there is still 1 squares to select.
At 22375.3662 User1 selected square and there is still 1 squares to select.
At 22392.3888 User1 selected square and there is still 1 squares to select.
At 22409.2789 User1 selected square and there is still 1 squares to select.
At 22426.2972 User1 selected square and there is still 1 squares to select.
At 22443.2509 User1 selected square and there is still 1 squares to select.
At 22459.3153 User1 selected square and there is still 1 squares to select.
At 22476.455 User1 selected square and there is still 1 squares to select.
At 22493.4227 User1 selected square and there is still 1 squares to select.
At 22510.4374 User1 selected square and there is still 1 squares to select.
At 22527.3211 User1 selected square and there is still 1 squares to select.
At 22543.2798 User1 selected square and there is still 1 squares to select.
At 22560.2563 User1 selected square and there is still 1 squares to select.
At 22577.467 User1 selected square and there is still 1 squares to select.
At 22594.376 User1 selected square and there is still 1 squares to select.
At 22611.3808 User1 selected square and there is still 1 squares to select.
At 22628.3496 User1 selected square and there is still 1 squares to select.
At 22644.3738 User1 selected square and there is still 1 squares to select.
At 22662.3933 User1 selected square and there is still 1 squares to select.
At 22678.3972 User1 selected square and there is still 1 squares to select.
At 22695.5098 User1 selected square and there is still 1 squares to select.
At 22712.4662 User1 selected square and there is still 1 squares to select.
At 22729.4188 User1 selected square and there is still 1 squares to select.
At 22745.3773 User1 selected square and there is still 1 squares to select.
At 22762.4583 User1 selected square and there is still 1 squares to select.
At 22779.4531 User1 selected square and there is still 1 squares to select.
At 22796.3413 User1 selected square and there is still 1 squares to select.
At 22813.2961 User1 selected square and there is still 1 squares to select.
At 22830.4396 User1 selected square and there is still 1 squares to select.
At 22847.4485 User1 selected square and there is still 1 squares to select.
At 22863.4961 User1 selected square and there is still 1 squares to select.
At 22880.4249 User1 selected square and there is still 1 squares to select.
At 24009.9907 User 1 selected all the squares.
At 24025.9021 User 1 selected all the squares.
At 24043.8547 User 1 selected all the squares.
At 24059.8113 User 1 selected all the squares.
At 24076.7679 User 1 selected all the squares.
At 24094.7176 User 1 selected all the squares.
At 24110.6758 User 1 selected all the squares.
At 24127.6304 User 1 selected all the squares.
At 24144.5839 User 1 selected all the squares.
At 24161.5401 User 1 selected all the squares.
At 24178.4964 User 1 selected all the squares.
At 24195.4489 User 1 selected all the squares.
At 24211.2599 User 1 selected all the squares.
At 24229.2123 User 1 selected all the squares.
At 24245.3523 User 1 selected all the squares.
At 24262.5092 User 1 selected all the squares.
At 24279.4634 User 1 selected all the squares.
At 24295.4499 User 1 selected all the squares.
At 24313.1032 User 1 selected all the squares.
At 24330.0571 User 1 selected all the squares.
At 24347.0405 User 1 selected all the squares.
At 24362.9942 User 1 selected all the squares.
At 24380.9216 User 1 selected all the squares.
At 24396.945 User 1 selected all the squares.
At 24413.834 User 1 selected all the squares.
At 24430.7916 User 1 selected all the squares.
At 24447.8109 User 1 selected all the squares.
At 24464.8052 User 1 selected all the squares.
At 24481.8232 User 1 selected all the squares.
At 24498.7761 User 1 selected all the squares.
At 24514.7077 User 1 selected all the squares.
At 24531.6622 User 1 selected all the squares.
At 24548.617 User 1 selected all the squares.
At 24565.5737 User 1 selected all the squares.
At 24582.5264 User 1 selected all the squares.
At 24599.5548 User 1 selected all the squares.
At 24616.5727 User 1 selected all the squares.
At 24632.5397 User 1 selected all the squares.
At 24650.5136 User 1 selected all the squares.
At 24666.4407 User 1 selected all the squares.
At 24683.4118 User 1 selected all the squares.
At 24700.3492 User 1 selected all the squares.
At 24717.4793 User 1 selected all the squares.
At 24734.4405 User 1 selected all the squares.
At 24751.3859 User 1 selected all the squares.
At 24768.3397 User 1 selected all the squares.
At 24784.3616 User 1 selected all the squares.
At 24803.2488 User 1 selected all the squares.
At 24818.2064 User 1 selected all the squares.
At 24836.3773 User 1 selected all the squares.
At 24853.4221 User 1 selected all the squares.
At 24869.3841 User 1 selected all the squares.
At 24886.427 User 1 selected all the squares.
At 24902.3819 User 1 selected all the squares.
At 24919.5053 User 1 selected all the squares.
At 25930.4325 User1 tried to select circle and that is not possible.
At 25947.4673 User1 tried to select circle and that is not possible.
At 25963.4243 User1 tried to select circle and that is not possible.
At 25981.3877 User1 tried to select circle and that is not possible.
At 25997.4599 User1 tried to select circle and that is not possible.
At 26014.4497 User1 tried to select circle and that is not possible.
At 26032.4671 User1 tried to select circle and that is not possible.
At 26048.4241 User1 tried to select circle and that is not possible.
At 26065.316 User1 tried to select circle and that is not possible.
At 26082.3344 User1 tried to select circle and that is not possible.
At 26099.2294 User1 tried to select circle and that is not possible.
At 26116.2428 User1 tried to select circle and that is not possible.
At 26132.3742 User1 tried to select circle and that is not possible.
At 26149.395 User1 tried to select circle and that is not possible.
At 26166.4061 User1 tried to select circle and that is not possible.
At 26183.4116 User1 tried to select circle and that is not possible.
At 26200.3309 User1 tried to select circle and that is not possible.
At 26217.2791 User1 tried to select circle and that is not possible.
At 26233.4618 User1 tried to select circle and that is not possible.
At 26250.4153 User1 tried to select circle and that is not possible.
At 26267.3969 User1 tried to select circle and that is not possible.
At 26284.3315 User1 tried to select circle and that is not possible.
At 26301.3456 User1 tried to select circle and that is not possible.
At 26318.235 User1 tried to select circle and that is not possible.
At 26335.1889 User1 tried to select circle and that is not possible.
