Time:User:UserPos:UserRHPos:UserLHPos:UserPosToque:UserMaoDeToque:UserTouchType:UserAction:HoverUnityName:HoverObjectType:NQuadToSelect:NCircToSelect:LastCollidingObj:HandCubePos
0.9969:User 1:(0.5, 0.8, 0.6):(0.9, 0.8, 0.7):(0.8, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
150.596:User 1:(0.5, 0.8, 0.6):(0.8, 0.8, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
150.596:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
167.5504:User 1:(0.5, 0.8, 0.6):(0.8, 0.8, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
167.5504:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
183.5388:User 1:(0.5, 0.8, 0.5):(0.8, 0.8, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
183.5388:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
201.4596:User 1:(0.5, 0.8, 0.5):(0.8, 0.8, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
201.4596:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
218.5107:User 1:(0.5, 0.8, 0.5):(0.8, 0.8, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
218.5107:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
235.4016:User 1:(0.5, 0.8, 0.5):(0.8, 0.8, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
235.4016:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
251.358:User 1:(0.5, 0.8, 0.5):(0.8, 0.8, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
251.358:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
268.3133:User 1:(0.5, 0.8, 0.5):(0.8, 0.8, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
268.3133:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
285.3196:User 1:(0.5, 0.8, 0.5):(0.8, 0.8, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
285.3196:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
Time:User:UserPos:UserRHPos:UserLHPos:UserPosToque:UserMaoDeToque:UserTouchType:UserAction:HoverUnityName:HoverObjectType:NQuadToSelect:NCircToSelect:LastCollidingObj:HandCubePos
0:User 1:(0.5, 0.8, 0.5):(0.8, 0.8, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
0:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
15.9611:User 1:(0.5, 0.8, 0.5):(0.8, 0.9, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
15.9611:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
31.9098:User 1:(0.5, 0.8, 0.5):(0.8, 0.9, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
31.9098:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
48.9406:User 1:(0.5, 0.8, 0.5):(0.8, 0.9, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
48.9406:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
65.9599:User 1:(0.5, 0.8, 0.5):(0.8, 0.9, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
65.9599:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
82.9107:User 1:(0.5, 0.8, 0.5):(0.8, 0.9, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
82.9107:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
99.9891:User 1:(0.5, 0.8, 0.5):(0.8, 0.9, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
99.9891:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
116.9066:User 1:(0.5, 0.8, 0.5):(0.8, 0.9, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
116.9066:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
133.9426:User 1:(0.5, 0.8, 0.5):(0.8, 0.9, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
133.9426:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
150.9161:User 1:(0.5, 0.8, 0.5):(0.8, 0.9, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
150.9161:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
166.9533:User 1:(0.5, 0.8, 0.5):(0.8, 0.9, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
166.9533:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
184.9627:User 1:(0.5, 0.8, 0.5):(0.8, 0.9, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
184.9627:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
200.8948:User 1:(0.5, 0.8, 0.5):(0.8, 0.9, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
200.8948:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
218.0124:User 1:(0.5, 0.8, 0.5):(0.8, 0.9, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
218.0124:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
235.0353:User 1:(0.5, 0.8, 0.5):(0.8, 0.9, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
235.0353:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
251.0045:User 1:(0.5, 0.8, 0.5):(0.8, 0.9, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
251.0045:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
267.9467:User 1:(0.5, 0.8, 0.5):(0.8, 0.9, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
267.9467:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
285.9662:User 1:(0.5, 0.8, 0.5):(0.8, 0.9, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
285.9662:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
302.854:User 1:(0.5, 0.8, 0.5):(0.8, 0.9, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
302.854:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
318.8783:User 1:(0.5, 0.8, 0.5):(0.8, 0.9, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
318.8783:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
335.7896:User 1:(0.5, 0.8, 0.5):(0.8, 0.9, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
335.7896:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
352.3145:User 1:(0.5, 0.8, 0.5):(0.8, 0.9, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
352.3145:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
369.4467:User 1:(0.5, 0.8, 0.5):(0.8, 0.9, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
369.4467:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
386.5007:User 1:(0.5, 0.8, 0.5):(0.8, 0.9, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
386.5007:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
403.5689:User 1:(0.5, 0.8, 0.5):(0.8, 0.9, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
403.5689:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
420.7326:User 1:(0.5, 0.8, 0.5):(0.8, 0.9, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
420.7326:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
436.8888:User 1:(0.5, 0.8, 0.5):(0.8, 0.9, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
436.8888:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
453.9239:User 1:(0.5, 0.8, 0.5):(0.8, 0.9, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
453.9239:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
471.0143:User 1:(0.5, 0.8, 0.5):(0.8, 0.9, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
471.0143:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
488.1354:User 1:(0.5, 0.8, 0.5):(0.8, 0.9, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
488.1354:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
505.0879:User 1:(0.5, 0.8, 0.5):(0.8, 0.9, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
505.0879:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
522.0426:User 1:(0.5, 0.8, 0.5):(0.8, 0.9, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
522.0426:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
538.0283:User 1:(0.5, 0.8, 0.5):(0.8, 0.9, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
538.0283:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
554.9789:User 1:(0.5, 0.8, 0.5):(0.8, 0.9, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
554.9789:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
571.9777:User 1:(0.5, 0.8, 0.5):(0.9, 0.9, 0.7):(0.7, 0.9, 0.6):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
571.9777:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.6):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
588.865:User 1:(0.5, 0.8, 0.5):(0.9, 0.9, 0.7):(0.7, 0.9, 0.6):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
588.865:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.6):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
605.8192:User 1:(0.5, 0.8, 0.5):(0.9, 0.9, 0.7):(0.7, 0.9, 0.6):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
605.8192:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.6):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
621.9404:User 1:(0.5, 0.8, 0.5):(0.9, 0.9, 0.7):(0.7, 0.9, 0.6):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
621.9404:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.6):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
638.8287:User 1:(0.5, 0.8, 0.5):(0.9, 0.9, 0.7):(0.7, 0.9, 0.6):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
638.8287:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.6):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
655.9628:User 1:(0.5, 0.8, 0.5):(0.9, 0.9, 0.7):(0.7, 0.9, 0.6):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
655.9628:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.6):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
672.9225:User 1:(0.5, 0.8, 0.5):(0.9, 0.9, 0.7):(0.7, 0.9, 0.6):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
672.9225:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.6):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
690.0053:User 1:(0.5, 0.8, 0.5):(0.9, 0.9, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
690.0053:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
706.9896:User 1:(0.5, 0.8, 0.5):(0.9, 0.9, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
706.9896:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
723.9399:User 1:(0.5, 0.8, 0.5):(0.9, 0.9, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
723.9399:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
740.002:User 1:(0.5, 0.8, 0.5):(0.9, 0.9, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
740.002:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
756.9516:User 1:(0.5, 0.8, 0.5):(0.9, 0.9, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
756.9516:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
773.8734:User 1:(0.5, 0.8, 0.5):(0.9, 0.9, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
773.8734:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
790.8939:User 1:(0.5, 0.8, 0.5):(0.9, 0.9, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
790.8939:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
807.9403:User 1:(0.5, 0.8, 0.5):(0.9, 0.9, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
807.9403:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
824.9462:User 1:(0.5, 0.8, 0.5):(0.9, 0.9, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
824.9462:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
841.9895:User 1:(0.5, 0.8, 0.5):(0.9, 0.9, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
841.9895:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
858.98:User 1:(0.5, 0.8, 0.5):(0.9, 0.9, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
858.98:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
874.9493:User 1:(0.5, 0.8, 0.6):(0.9, 0.9, 0.7):(0.8, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
874.9493:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.8, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
891.9539:User 1:(0.5, 0.8, 0.6):(0.9, 0.9, 0.7):(0.8, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
891.9539:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.8, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
908.908:User 1:(0.5, 0.8, 0.6):(0.9, 0.9, 0.7):(0.8, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
908.908:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.8, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
925.9003:User 1:(0.5, 0.8, 0.6):(0.9, 0.9, 0.7):(0.8, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
925.9003:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.8, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
942.4149:User 1:(0.5, 0.8, 0.6):(0.9, 0.9, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
942.4149:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
959.3678:User 1:(0.5, 0.8, 0.6):(0.9, 0.9, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
959.3678:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
976.4574:User 1:(0.5, 0.8, 0.6):(0.9, 0.9, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
